,0,1,2,3
"[0, 0]",0.0,1.13176064136672e-07,0.0,0.0
"[0, 1]",0.0,0.0,1.0893202431501597e-05,0.0
"[0, 2]",0.0,0.0,0.0,0.0
"[1, 2]",0.0,0.0,0.0,0.0
"[1, 1]",0.0,0.0,0.0005135371724608751,0.0
"[1, 0]",0.0,8.100000000000001e-07,0.0,0.0
"[2, 0]",0.0,0.0,0.0,0.0
"[2, 1]",0.0,0.0,0.009414871987494322,0.0
terminal,0.0,0.0,0.0,0.0
"[3, 0]",0.0,0.01,0.0,0.0
"[4, 0]",0.0,0.0,0.0,0.0
"[0, 3]",0.0,0.0,-7.725520592592591e-07,0.0
"[0, 4]",0.0,0.0,0.0,0.0
"[1, 4]",0.0,0.0,0.0,0.0
"[2, 4]",0.0,0.0,0.0,0.0
